county_fips,county_name,state_fips,date,ndvi_mean,evi_mean,pixel_count,state
17121,Marion,17,2010-04-07,5066.763718678891,3318.4187823597213,24273,Illinois
17005,Bond,17,2010-04-07,4665.832835627339,3162.372472943326,16163,Illinois
17083,Jersey,17,2010-04-07,4600.4420181183405,3102.623211307365,15974,Illinois
17163,St. Clair,17,2010-04-07,4871.52798369807,3330.99165269453,28341,Illinois
17027,Clinton,17,2010-04-07,4375.252184871182,2939.051319945171,20927,Illinois
17013,Calhoun,17,2010-04-07,4952.938001960697,3013.2182589625127,11984,Illinois
17119,Madison,17,2010-04-07,4681.750283286226,3205.183826239579,31048,Illinois
17133,Monroe,17,2010-04-07,5102.385317221868,3484.8205082852355,16851,Illinois
17117,Macoupin,17,2010-04-07,4188.05844395653,2711.9135551295485,36500,Illinois
17171,Scott,17,2010-04-07,3894.634817854125,2566.662636926536,10785,Illinois
17137,Morgan,17,2010-04-07,3660.893549734761,2338.2175513714524,24137,Illinois
17107,Logan,17,2010-04-07,3017.484540395274,1952.9300488341396,26053,Illinois
17129,Menard,17,2010-04-07,3521.4958166378788,2262.7666859188066,13427,Illinois
17167,Sangamon,17,2010-04-07,3721.9508578465893,2362.639612723095,36987,Illinois
17021,Christian,17,2010-04-07,3335.475286549964,2093.42191267662,30187,Illinois
17127,Massac,17,2010-04-07,5785.863890990905,3898.1551644355973,10171,Illinois
17057,Fulton,17,2010-04-07,4242.385119969094,2728.8650805892958,37145,Illinois
17175,Stark,17,2010-04-07,2906.1503747536626,1932.2564939333452,12234,Illinois
17203,Woodford,17,2010-04-07,3273.0513250618665,2099.3061040786306,22928,Illinois
17179,Tazewell,17,2010-04-07,3569.4056333719395,2332.2809868214217,27703,Illinois
17123,Marshall,17,2010-04-07,3410.91736381699,2177.175946417619,16844,Illinois
17143,Peoria,17,2010-04-07,4116.641963929015,2760.3321044445283,26600,Illinois
17001,Adams,17,2010-04-07,4351.18063600177,2933.5765917693248,36536,Illinois
17177,Stephenson,17,2010-04-07,3636.9657280610704,2394.112441621947,23816,Illinois
17141,Ogle,17,2010-04-07,3573.779178603783,2390.9411145427875,32063,Illinois
17201,Winnebago,17,2010-04-07,4175.534952980083,2606.861926075648,21903,Illinois
17007,Boone,17,2010-04-07,3575.5263056360604,2252.461983701055,12039,Illinois
17025,Clay,17,2010-04-07,4846.363092210071,3154.2277127627544,19842,Illinois
17185,Wabash,17,2010-04-07,4052.4153396493975,2661.069881393962,9873,Illinois
17009,Brown,17,2010-04-07,4779.467682632338,3091.7695970856357,13067,Illinois
17151,Pope,17,2010-04-07,6464.512540875414,4118.726736980725,15855,Illinois
17033,Crawford,17,2010-04-07,4784.259620438888,3120.27857023571,18864,Illinois
17135,Montgomery,17,2010-04-07,3971.8139972948156,2586.0917294403266,30023,Illinois
17055,Franklin,17,2010-04-07,5645.658820221302,3662.326989927669,18180,Illinois
17023,Clark,17,2010-04-07,4416.693888330059,2838.078417896424,21372,Illinois
17059,Gallatin,17,2010-04-07,4623.134369597866,3129.4352314153343,13878,Illinois
17075,Iroquois,17,2010-04-07,2927.605409110497,1767.776349314007,46845,Illinois
17041,Douglas,17,2010-04-07,3143.8971422109917,1949.3535644537997,17608,Illinois
17189,Washington,17,2010-04-07,4727.404547777456,3235.885686705192,23837,Illinois
17159,Richland,17,2010-04-07,4713.782249804646,3016.9283766251074,15347,Illinois
17065,Hamilton,17,2010-04-07,5019.8416363221195,3332.7317916947595,18425,Illinois
17193,White,17,2010-04-07,4878.493149263319,3250.9013131951624,21307,Illinois
17169,Schuyler,17,2010-04-07,4523.75046017065,2889.3372050363164,18732,Illinois
17181,Union,17,2010-04-07,6634.923979453015,4362.313006983149,17866,Illinois
17085,Jo Daviess,17,2010-04-07,4831.540950279915,3205.5529608745383,25996,Illinois
17125,Mason,17,2010-04-07,3418.621804007193,2096.2770554247413,23974,Illinois
17191,Wayne,17,2010-04-07,4789.5384794976035,3111.8012441884252,30059,Illinois
17069,Hardin,17,2010-04-07,6508.04968936895,4218.462726967455,7633,Illinois
17061,Greene,17,2010-04-07,4179.013034481183,2807.527737424483,23100,Illinois
17157,Randolph,17,2010-04-07,5485.8123985278935,3678.2729024470286,25204,Illinois
17149,Pike,17,2010-04-07,4216.678235790347,2726.0769246563705,35528,Illinois
17145,Perry,17,2010-04-07,5636.065433484808,3694.3722783453827,18862,Illinois
17087,Johnson,17,2010-04-07,6796.130345189171,4356.924852134278,14818,Illinois
17173,Shelby,17,2010-04-07,3822.544113872232,2464.2410030294463,32345,Illinois
17051,Fayette,17,2010-04-07,4844.582224192481,3165.2860874334046,30556,Illinois
17139,Moultrie,17,2010-04-07,3309.1689437618425,2014.2734059976335,14620,Illinois
17017,Cass,17,2010-04-07,3777.746421782383,2340.618176165936,16338,Illinois
17015,Carroll,17,2010-04-07,3628.956003481434,2286.6926124820743,19506,Illinois
17047,Edwards,17,2010-04-07,4958.839065366348,3295.2864807423593,9550,Illinois
17079,Jasper,17,2010-04-07,4305.344916190274,2763.241898013926,21017,Illinois
17187,Warren,17,2010-04-07,3354.285852080656,2158.220703486581,22960,Illinois
17153,Pulaski,17,2010-04-07,5566.458720359688,3671.943504289802,8710,Illinois
17165,Saline,17,2010-04-07,5430.598246451406,3614.4145965051343,16352,Illinois
17101,Lawrence,17,2010-04-07,4585.966870170486,2932.147808937593,15858,Illinois
17045,Edgar,17,2010-04-07,3504.9814088231,2231.1831969816394,26284,Illinois
17071,Henderson,17,2010-04-07,3724.0677078856343,2361.376514876712,16803,Illinois
17199,Williamson,17,2010-04-07,6440.765906327225,4095.2755876434776,18769,Illinois
17077,Jackson,17,2010-04-07,6203.293857412015,4046.640931305304,25390,Illinois
17147,Piatt,17,2010-04-07,2978.9661597313084,1815.0864063095853,18654,Illinois
17053,Ford,17,2010-04-07,2776.106474812564,1706.9169275985166,20751,Illinois
17019,Champaign,17,2010-04-07,3027.4562809226118,1883.0058732861364,41935,Illinois
17029,Coles,17,2010-04-07,3646.877272644547,2311.888754668964,21586,Illinois
17035,Cumberland,17,2010-04-07,4164.289734795956,2646.0390518990653,14648,Illinois
17183,Vermilion,17,2010-04-07,3394.162215855188,2158.2907439499604,37966,Illinois
17115,Macon,17,2010-04-07,3320.9044797390457,2072.0750197958,24716,Illinois
17049,Effingham,17,2010-04-07,4396.715182406358,2895.5452654023843,20262,Illinois
17067,Hancock,17,2010-04-07,4040.326030336778,2712.3101980226193,34216,Illinois
17095,Knox,17,2010-04-07,3961.692343221388,2504.683827367878,30324,Illinois
17109,McDonough,17,2010-04-07,3703.183351824205,2426.130395577346,24866,Illinois
17081,Jefferson,17,2010-04-07,5570.69963678463,3669.0574413503023,24536,Illinois
17113,McLean,17,2010-04-07,3037.5141633205617,1924.7349901150287,49722,Illinois
17039,De Witt,17,2010-04-07,3215.647178834452,2066.4723747170588,17113,Illinois
17105,Livingston,17,2010-04-07,2826.2826489292934,1737.0068493702902,43891,Illinois
17003,Alexander,17,2010-04-07,5709.27631160811,3612.002246571963,10853,Illinois
17093,Kendall,17,2010-04-07,3473.0320438521308,2200.9875976169237,13655,Illinois
17031,Cook,17,2010-04-07,3497.556699458374,2267.4269487178112,45439,Illinois
17037,DeKalb,17,2010-04-07,3020.69531801864,1886.0915758743897,26768,Illinois
17089,Kane,17,2010-04-07,4100.810728033768,2625.781075280484,22111,Illinois
17063,Grundy,17,2010-04-07,3322.1569605032428,2012.9761248567136,18194,Illinois
17111,McHenry,17,2010-04-07,4437.474665498082,2836.8459093390916,25698,Illinois
17197,Will,17,2010-04-07,4177.606912642736,2757.1505128258354,35809,Illinois
17043,DuPage,17,2010-04-07,5002.673237048498,3299.6744156036975,14262,Illinois
17097,Lake,17,2010-04-07,4501.295143783499,2662.0077166144615,20551,Illinois
17091,Kankakee,17,2010-04-07,3321.5303669367677,2071.1913087670287,28648,Illinois
17011,Bureau,17,2010-04-07,3314.912006359206,2152.4356774029366,36709,Illinois
17155,Putnam,17,2010-04-07,3687.9587948861954,2270.3680204920006,7346,Illinois
17099,LaSalle,17,2010-04-07,3219.5513700346005,1969.0073026491643,48262,Illinois
17131,Mercer,17,2010-04-07,3501.442577618497,2278.4167426419267,23904,Illinois
17161,Rock Island,17,2010-04-07,4221.646095804754,2699.241465713333,19289,Illinois
17073,Henry,17,2010-04-07,3353.8147461173207,2148.5069888229086,34653,Illinois
17103,Lee,17,2010-04-07,3208.7402060316836,2020.2490675940362,30607,Illinois
17195,Whiteside,17,2010-04-07,3444.842230806778,2128.7479867562797,29232,Illinois
18039,Elkhart,18,2010-04-07,4773.710786609912,3239.9947904294013,19737,Indiana
18099,Marshall,18,2010-04-07,4370.493664185598,2767.827950619959,18974,Indiana
18141,St. Joseph,18,2010-04-07,4569.526638075942,2865.6252097108218,19479,Indiana
18041,Fayette,18,2010-04-07,4642.52852415186,3091.80030363766,9195,Indiana
18177,Wayne,18,2010-04-07,4562.649373434748,3108.5485059189195,17100,Indiana
18123,Perry,18,2010-04-07,6311.390053566731,4028.8323052472974,16474,Indiana
18117,Orange,18,2010-04-07,5946.282673797183,3724.0037591577507,17258,Indiana
18171,Warren,18,2010-04-07,3723.6869170345626,2444.1240999599413,15577,Indiana
18137,Ripley,18,2010-04-07,5483.124237195372,3453.4798045038674,19023,Indiana
18047,Franklin,18,2010-04-07,5238.859532531624,3264.8471642247987,16547,Indiana
18051,Gibson,18,2010-04-07,4461.628155235709,2961.9553007981626,21296,Indiana
18049,Fulton,18,2010-04-07,3957.2001978866524,2496.727328933468,15728,Indiana
18055,Greene,18,2010-04-07,5512.652021315252,3472.7139709001335,22981,Indiana
18139,Rush,18,2010-04-07,3440.7844333180356,2419.005624714885,17325,Indiana
18135,Randolph,18,2010-04-07,3329.6025220908086,2273.3564126845636,19105,Indiana
18087,LaGrange,18,2010-04-07,4998.873117260787,3390.756770606895,16343,Indiana
18131,Pulaski,18,2010-04-07,3523.5404246669523,2127.990897563563,18431,Indiana
18149,Starke,18,2010-04-07,4167.005921631951,2414.9124837495892,13259,Indiana
18045,Fountain,18,2010-04-07,4053.8328229927347,2760.530646748657,16887,Indiana
18159,Tipton,18,2010-04-07,2731.6611546297395,1861.3110386547987,11039,Indiana
18025,Crawford,18,2010-04-07,5971.131311668662,3628.069409989462,13236,Indiana
18155,Switzerland,18,2010-04-07,6386.127858649462,3881.2070252070644,9578,Indiana
18121,Parke,18,2010-04-07,5247.821052817714,3537.396828364137,19030,Indiana
18009,Blackford,18,2010-04-07,3273.292441762646,2154.199813095664,7104,Indiana
18147,Spencer,18,2010-04-07,5610.113002587133,3880.724559526915,17092,Indiana
18075,Jay,18,2010-04-07,3444.122794216132,2317.624007266208,16253,Indiana
18181,White,18,2010-04-07,3217.081697380427,1948.7654275988818,21498,Indiana
18101,Martin,18,2010-04-07,5998.485676988053,3725.484405791355,14487,Indiana
18173,Warrick,18,2010-04-07,5628.252079527003,3529.757360161954,16609,Indiana
18129,Posey,18,2010-04-07,4407.172771946724,2995.1188079125063,17927,Indiana
18163,Vanderburgh,18,2010-04-07,4913.1342378478785,3273.901876213158,10161,Indiana
18037,Dubois,18,2010-04-07,5951.400832704066,4033.2358687122673,18464,Indiana
18125,Pike,18,2010-04-07,5965.492637739221,3810.059540286628,14581,Indiana
18017,Cass,18,2010-04-07,3756.428351783375,2475.1224554583837,17579,Indiana
18053,Grant,18,2010-04-07,3311.768813932289,2222.716427160946,17537,Indiana
18165,Vermillion,18,2010-04-07,4544.168842526604,3004.6262131215085,11254,Indiana
18167,Vigo,18,2010-04-07,5182.892086237939,3342.1412646740673,17419,Indiana
18153,Sullivan,18,2010-04-07,4982.725427159018,3217.0344651176642,19248,Indiana
18021,Clay,18,2010-04-07,4945.837404512313,3222.3430818524316,15360,Indiana
18083,Knox,18,2010-04-07,4192.39442925571,2800.466763733159,22552,Indiana
18169,Wabash,18,2010-04-07,3730.666542160781,2435.233419046051,17761,Indiana
18085,Kosciusko,18,2010-04-07,4245.3497271785345,2705.5518360794376,23408,Indiana
18027,Daviess,18,2010-04-07,4841.992176518282,3308.4702023508594,18667,Indiana
18093,Lawrence,18,2010-04-07,6185.260324084252,3923.0818423916667,19083,Indiana
18119,Owen,18,2010-04-07,6028.835489717155,3792.451332372631,16451,Indiana
18105,Monroe,18,2010-04-07,5956.749477233406,3664.403682482602,17263,Indiana
18073,Jasper,18,2010-04-07,3587.332448560215,2153.3630079202503,23783,Indiana
18111,Newton,18,2010-04-07,3561.0167837654217,2138.53123917981,17140,Indiana
18089,Lake,18,2010-04-07,3979.7952351063636,2488.0855584995516,21825,Indiana
18127,Porter,18,2010-04-07,4140.296606301611,2548.7427157040893,18245,Indiana
18091,LaPorte,18,2010-04-07,4219.797674688938,2555.7271121772633,25553,Indiana
18115,Ohio,18,2010-04-07,6314.400503802902,3872.540644887247,3827,Indiana
18161,Union,18,2010-04-07,4163.818106988299,2775.7609465541254,7053,Indiana
18029,Dearborn,18,2010-04-07,6138.267384036322,3741.98712819026,13148,Indiana
18005,Bartholomew,18,2010-04-07,5052.2719750589895,3315.2909840473453,17304,Indiana
18107,Montgomery,18,2010-04-07,3680.171171674345,2505.0270124280473,21350,Indiana
18031,Decatur,18,2010-04-07,4186.538945459919,2879.4606374249697,15807,Indiana
18057,Hamilton,18,2010-04-07,4307.47978271104,2883.2360732614484,17011,Indiana
18081,Johnson,18,2010-04-07,4853.893574517674,3263.567080144326,13648,Indiana
18059,Hancock,18,2010-04-07,3805.3306785962186,2634.509732047821,13013,Indiana
18013,Brown,18,2010-04-07,5949.213000812405,3470.9698465360048,13430,Indiana
